DEPT,DPHI,GR,ILD,FORMATION
4899.5,5.025,108.452,9.543,1
4900,4.945,104.012,10.139,1
4900.5,4.549,97.739,11.076,1
4901,4.311,93.312,11.531,1
4901.5,4.153,91.193,11.97,1
4902,4.232,94.188,11.873,1
4902.5,4.272,98.597,11.484,1
4903,4.351,103.006,10.973,1
4903.5,4.589,107.415,10.637,1
4904,5.064,107.415,10.139,1
4904.5,4.945,103.808,10.488,1
4905,4.985,97.796,11.16,1
4905.5,5.144,93.788,12.28,1
4906,5.223,92.585,12.865,1
4906.5,5.58,90.982,13.639,1
4907,5.699,85.772,14.509,1
4907.5,4.827,78.958,15.255,1
4908,2.646,67.735,15.817,1
4908.5,0.228,61.723,16.249,1
4909,-1.635,65.731,16.219,1
4909.5,-2.151,73.747,15.861,1
4910,-0.287,81.764,15.03,1
4910.5,1.417,88.176,15.047,1
4911,3.003,90.18,14.375,1
4911.5,4.39,89.78,13.596,1
4912,4.747,90.581,12.588,1
4912.5,4.628,94.589,12.094,1
4913,4.47,96.994,11.621,1
4913.5,4.311,97.796,11.332,1
4914,4.43,98.196,10.934,1
4914.5,4.509,100.2,10.934,1
4915,4.628,101.403,10.934,1
4915.5,4.827,106.212,10.658,1
4916,4.272,111.824,10.338,1
4916.5,3.875,113.026,10.185,1
4917,3.677,109.82,10.139,1
4917.5,3.677,101.804,10.169,1
4918,3.558,96.593,10.672,1
4918.5,3.241,88.176,11.212,1
4919,2.725,85.371,11.508,1
4919.5,2.805,86.573,11.579,1
4920,3.201,86.573,11.73,1
4920.5,3.835,85.772,11.73,1
4921,4.589,84.168,11.535,1
4921.5,5.342,83.768,11.464,1
4922,5.183,82.164,11.133,1
4922.5,4.945,82.164,11.133,1
4923,4.906,83.768,11.413,1
4923.5,4.906,85.371,11.55,1
4924,4.073,83.768,11.73,1
4924.5,3.915,83.367,11.73,1
4925,3.889,85.141,11.498,1
4925.5,3.849,85.944,11.162,1
4926,4.325,86.747,11.133,1
4926.5,4.603,88.755,11.133,1
4927,4.762,89.96,11.133,1
4927.5,4.802,89.157,11.133,1
4928,4.802,88.353,10.94,1
4928.5,4.881,87.149,10.934,1
4929,5,85.542,10.736,1
4929.5,5.397,84.337,10.537,1
4930,5.714,83.133,10.537,1
4930.5,5.873,82.329,10.537,1
4931,6.032,81.526,10.537,1
4931.5,6.071,77.912,10.443,1
4932,6.19,75.502,10.139,1
4932.5,6.389,76.305,10.139,1
4933,6.468,76.305,10.139,1
4933.5,6.468,78.156,10.157,1
4934,5.992,81.764,10.159,1
4934.5,5.833,83.367,10.159,1
4935,5.556,82.565,10.359,1
4935.5,5.238,83.367,10.359,1
4936,5.198,84.97,10.361,1
4936.5,4.762,86.974,10.698,1
4937,5.079,87.776,11.035,1
4937.5,5.238,88.176,11.155,1
4938,4.762,85.772,11.155,1
4938.5,4.722,81.764,11.155,1
4939,4.762,80.561,11.155,1
4939.5,4.841,80.16,11.456,1
4940,4.603,80.561,11.554,1
4940.5,4.127,88.577,11.554,1
4941,3.413,91.383,11.554,1
4941.5,3.373,94.188,11.554,1
4942,3.611,97.395,11.554,1
4942.5,4.048,94.589,11.554,1
4943,4.524,90.982,11.22,1
4943.5,5.119,85.371,11.083,1
4944,5.357,79.76,10.956,1
4944.5,4.921,76.152,10.956,1
4945,5,76.152,10.956,1
4945.5,5,79.359,10.956,1
4946,4.762,82.164,10.956,1
4946.5,5.119,85.371,10.956,1
4947,5.437,88.577,10.956,1
4947.5,5.476,90.982,10.956,1
4948,5.635,92.184,10.956,1
4948.5,5.437,93.387,10.757,1
4949,5.198,94.99,10.558,1
4949.5,4.881,96.994,10.558,1
4950,4.444,96.787,10.676,1
4950.5,4.246,97.189,10.736,1
